Data,Temp. Max. (C),Variation,Avg.3D,Avg.7D,Weekday,Month
2022-05-17 18:00:00,18.8,0.0,19.23333333333333,17.757142857142856,1,5
2022-05-17 19:00:00,18.3,-0.5,19.13333333333333,18.37142857142857,1,5
2022-05-17 20:00:00,17.5,-0.5,18.8,18.642857142857142,1,5
2022-05-17 21:00:00,15.9,-0.8000000000000007,18.2,18.685714285714287,1,5
2022-05-17 22:00:00,14.5,-1.5999999999999996,17.23333333333333,18.314285714285717,1,5
2022-05-17 23:00:00,13.8,-1.4000000000000004,15.966666666666663,17.65714285714286,1,5
2022-05-18 00:00:00,12.7,-0.6999999999999993,14.733333333333333,16.87142857142857,2,5
2022-05-18 01:00:00,11.8,-1.1000000000000014,13.666666666666666,15.928571428571429,2,5
2022-05-18 02:00:00,11.2,-0.8999999999999986,12.766666666666666,14.928571428571429,2,5
2022-05-18 03:00:00,10.7,-0.6000000000000014,11.899999999999999,13.914285714285713,2,5
2022-05-18 04:00:00,10.2,-0.5,11.233333333333333,12.942857142857145,2,5
2022-05-18 05:00:00,9.3,-0.5,10.699999999999998,12.12857142857143,2,5
2022-05-18 06:00:00,8.5,-0.8999999999999986,10.066666666666665,11.385714285714286,2,5
2022-05-18 07:00:00,7.9,-0.8000000000000007,9.33333333333333,10.62857142857143,2,5
2022-05-18 08:00:00,7.7,-0.5999999999999996,8.566666666666666,9.942857142857141,2,5
2022-05-18 09:00:00,7.3,-0.20000000000000018,8.033333333333333,9.357142857142858,2,5
2022-05-18 10:00:00,7.4,-0.40000000000000036,7.633333333333333,8.8,2,5
2022-05-18 11:00:00,8.0,0.10000000000000053,7.466666666666666,8.328571428571427,2,5
2022-05-18 12:00:00,8.6,0.5999999999999996,7.5666666666666655,8.014285714285714,2,5
2022-05-18 13:00:00,10.1,0.5999999999999996,7.999999999999999,7.914285714285714,2,5
2022-05-18 14:00:00,11.3,1.5,8.899999999999999,8.142857142857142,2,5
2022-05-18 15:00:00,12.0,1.200000000000001,9.999999999999998,8.628571428571428,2,5
2022-05-18 16:00:00,12.5,0.6999999999999993,11.133333333333333,9.242857142857144,2,5
2022-05-18 17:00:00,12.8,0.5,11.933333333333332,9.985714285714286,2,5
2022-05-18 18:00:00,13.7,0.3000000000000007,12.433333333333332,10.757142857142856,2,5
2022-05-18 19:00:00,13.9,0.8999999999999986,13.0,11.571428571428571,2,5
2022-05-18 20:00:00,13.4,0.20000000000000107,13.466666666666667,12.328571428571431,2,5
2022-05-18 21:00:00,12.3,-0.5,13.666666666666664,12.799999999999999,2,5
2022-05-18 22:00:00,11.1,-1.0999999999999996,13.200000000000001,12.942857142857145,2,5
